# Court Validation Report
# Court: KEM - Kirkland Equipment Management
# Source File: KEM_KEM_sample.txt
# Generated: 2025-09-24 15:12:42
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: KEM
# Court Name: Kirkland Court
# Total Lines Processed: 31
# KEM Lines Found: 16
# Valid KEM IDs: 11
# Failed KEM IDs: 5
# Success Rate: 68.8%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,kem_id_raw,kem_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
KEM,Kirkland Court,1,,,0,VALID,not_a_KEM_line,,KEM COURT VALIDATION TEST - MIXED CASES
KEM,Kirkland Court,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
KEM,Kirkland Court,3,,,0,VALID,not_a_KEM_line,,Kirkland Court Equipment Inventory
KEM,Kirkland Court,4,,,0,VALID,not_a_KEM_line,,===================================
KEM,Kirkland Court,6,,,0,VALID,not_a_KEM_line,,VALID KEM IDs (9-13 digits):
KEM,Kirkland Court,7,123456789,123456789,9,VALID,,,KEM	123456789	Hydraulic Pump Model A - Valid (9 digits - minimum)
KEM,Kirkland Court,8,1234567890,1234567890,10,VALID,,,KEM	1234567890	Control Module B - Valid (10 digits)
KEM,Kirkland Court,9,12345678901,12345678901,11,VALID,,,KEM	12345678901	Sensor Unit C - Valid (11 digits)
KEM,Kirkland Court,10,123456789012,123456789012,12,VALID,,,KEM	123456789012	Valve Assembly D - Valid (12 digits)
KEM,Kirkland Court,11,1234567890123,1234567890123,13,VALID,,,KEM	1234567890123	Maximum Equipment E - Valid (13 digits - maximum)
KEM,Kirkland Court,12,987654321,987654321,9,VALID,,,KEM	987654321	Standard Item F - Valid (9 digits)
KEM,Kirkland Court,13,4152500182618,4152500182618,13,VALID,,,KEM	4152500182618	Legacy Item G - Valid (13 digits)
KEM,Kirkland Court,15,,,0,VALID,not_a_KEM_line,,INVALID KEM IDs (outside 9-13 range):
KEM,Kirkland Court,16,12345678,12345678,8,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	12345678	Too Short Item H - Invalid (8 digits - below minimum)
KEM,Kirkland Court,17,1234567,1234567,7,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	1234567	Very Short Item I - Invalid (7 digits)
KEM,Kirkland Court,18,12345678901234,12345678901234,14,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	12345678901234	Too Long Item J - Invalid (14 digits - above maximum)
KEM,Kirkland Court,19,123456789012345,123456789012345,15,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	123456789012345	Extra Long Item K - Invalid (15 digits)
KEM,Kirkland Court,20,ABCDEFGH,,0,INVALID,no_digits_found,No Digits Found,KEM	ABCDEFGH	No Digits Item L - Invalid (no numeric digits)
KEM,Kirkland Court,21,ABC123DEF456,123456,6,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	ABC123DEF456	Mixed Alpha Item M - Invalid (only 6 digits)
KEM,Kirkland Court,22,,,0,INVALID,no_digits_found,No Digits Found,KEM		Empty ID Item N - Invalid (empty ID)
KEM,Kirkland Court,24,,,0,VALID,not_a_KEM_line,,EDGE CASES:
KEM,Kirkland Court,25,000000000,000000000,9,VALID,,,KEM	000000000	All Zeros - Valid (9 digits)
KEM,Kirkland Court,26,9999999999999,9999999999999,13,VALID,,,KEM	9999999999999	All Nines - Valid (13 digits)
KEM,Kirkland Court,27,123-456-789,123456789,9,VALID,,,KEM	123-456-789	With Dashes - Valid (9 digits extracted)
KEM,Kirkland Court,28,(123)456-7890,1234567890,10,VALID,,,KEM	(123)456-7890	Phone Format - Valid (10 digits extracted)
KEM,Kirkland Court,30,,,0,VALID,not_a_KEM_line,,===================================
KEM,Kirkland Court,31,,,0,VALID,not_a_KEM_line,,Expected Results:
KEM,Kirkland Court,32,,,0,VALID,not_a_KEM_line,,- Valid entries: 11
KEM,Kirkland Court,33,,,0,VALID,not_a_KEM_line,,- Invalid entries: 7
KEM,Kirkland Court,34,,,0,VALID,not_a_KEM_line,,- Total KEM lines: 18
KEM,Kirkland Court,35,,,0,VALID,not_a_KEM_line,,- Non-KEM informational lines: Multiple

# END OF REPORT
# Report Generated by Court Validator v2.0 for Kirkland Equipment Management
