# Court Validation Report
# Court: KEM - Kirkland Equipment Management
# Source File: mixed_court_edge_cases.txt
# Generated: 2025-09-24 14:13:54
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: KEM
# Court Name: Kirkland Court
# Total Lines Processed: 38
# KEM Lines Found: 8
# Valid KEM IDs: 6
# Failed KEM IDs: 2
# Success Rate: 75.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,kem_id_raw,kem_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
KEM,Kirkland Court,1,,,0,VALID,not_a_KEM_line,,MULTI-COURT EDGE CASES BATCH
KEM,Kirkland Court,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
KEM,Kirkland Court,3,,,0,VALID,not_a_KEM_line,,Testing edge cases across all courts
KEM,Kirkland Court,4,,,0,VALID,not_a_KEM_line,,===================================
KEM,Kirkland Court,6,,,0,VALID,not_a_KEM_line,,MINIMUM LENGTH TESTS:
KEM,Kirkland Court,7,123456789,123456789,9,VALID,,,KEM	123456789	KEM minimum (9 digits) - Valid
KEM,Kirkland Court,8,,,0,VALID,not_a_KEM_line,,SEA	12345678	SEA minimum (8 digits) - Valid
KEM,Kirkland Court,9,,,0,VALID,not_a_KEM_line,,TAC	1234567890	TAC minimum (10 digits) - Valid
KEM,Kirkland Court,11,,,0,VALID,not_a_KEM_line,,MAXIMUM LENGTH TESTS:
KEM,Kirkland Court,12,1234567890123,1234567890123,13,VALID,,,KEM	1234567890123	KEM maximum (13 digits) - Valid
KEM,Kirkland Court,13,,,0,VALID,not_a_KEM_line,,SEA	123456789012	SEA maximum (12 digits) - Valid
KEM,Kirkland Court,14,,,0,VALID,not_a_KEM_line,,TAC	12345678901234	TAC maximum (14 digits) - Valid
KEM,Kirkland Court,16,,,0,VALID,not_a_KEM_line,,BOUNDARY VIOLATIONS:
KEM,Kirkland Court,17,12345678,12345678,8,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	12345678	One below KEM minimum - Invalid
KEM,Kirkland Court,18,,,0,VALID,not_a_KEM_line,,SEA	1234567	One below SEA minimum - Invalid
KEM,Kirkland Court,19,,,0,VALID,not_a_KEM_line,,TAC	123456789	One below TAC minimum - Invalid
KEM,Kirkland Court,20,12345678901234,12345678901234,14,INVALID,digit_count_out_of_range,Required: 9-13 digits,KEM	12345678901234	One above KEM maximum - Invalid
KEM,Kirkland Court,21,,,0,VALID,not_a_KEM_line,,SEA	1234567890123	One above SEA maximum - Invalid
KEM,Kirkland Court,22,,,0,VALID,not_a_KEM_line,,TAC	123456789012345	One above TAC maximum - Invalid
KEM,Kirkland Court,24,,,0,VALID,not_a_KEM_line,,ALL ZEROS TESTS:
KEM,Kirkland Court,25,000000000,000000000,9,VALID,,,KEM	000000000	KEM all zeros (9) - Valid
KEM,Kirkland Court,26,,,0,VALID,not_a_KEM_line,,SEA	00000000	SEA all zeros (8) - Valid
KEM,Kirkland Court,27,,,0,VALID,not_a_KEM_line,,TAC	0000000000	TAC all zeros (10) - Valid
KEM,Kirkland Court,29,,,0,VALID,not_a_KEM_line,,ALL NINES TESTS:
KEM,Kirkland Court,30,9999999999999,9999999999999,13,VALID,,,KEM	9999999999999	KEM all nines (13) - Valid
KEM,Kirkland Court,31,,,0,VALID,not_a_KEM_line,,SEA	999999999999	SEA all nines (12) - Valid
KEM,Kirkland Court,32,,,0,VALID,not_a_KEM_line,,TAC	99999999999999	TAC all nines (14) - Valid
KEM,Kirkland Court,34,,,0,VALID,not_a_KEM_line,,SPECIAL CHARACTER EXTRACTION:
KEM,Kirkland Court,35,123-456-789,123456789,9,VALID,,,KEM	123-456-789	KEM with dashes - Valid (9 digits)
KEM,Kirkland Court,36,,,0,VALID,not_a_KEM_line,,SEA	(206)555-12	SEA phone format - Valid (8 digits)
KEM,Kirkland Court,37,,,0,VALID,not_a_KEM_line,,TAC	253.555.1234	TAC dot format - Valid (10 digits)
KEM,Kirkland Court,39,,,0,VALID,not_a_KEM_line,,ALPHANUMERIC MIXED:
KEM,Kirkland Court,40,A1B2C3D4E5F6G7H8I9,123456789,9,VALID,,,KEM	A1B2C3D4E5F6G7H8I9	KEM alphanumeric - Valid (9 digits)
KEM,Kirkland Court,41,,,0,VALID,not_a_KEM_line,,SEA	S1E2A3T4T5L6E78	SEA alphanumeric - Valid (8 digits)
KEM,Kirkland Court,42,,,0,VALID,not_a_KEM_line,,TAC	T1A2C3O4M5A6789012	TAC alphanumeric - Valid (10 digits)
KEM,Kirkland Court,44,,,0,VALID,not_a_KEM_line,,===================================
KEM,Kirkland Court,45,,,0,VALID,not_a_KEM_line,,Comprehensive edge case testing across all courts
KEM,Kirkland Court,46,,,0,VALID,not_a_KEM_line,,"Tests minimum, maximum, boundaries, and special formats"

# END OF REPORT
# Report Generated by Court Validator v2.0 for Kirkland Equipment Management
