# Court Validation Report
# Court: KEM - Kirkland Equipment Management
# Source File: no_prefix_numeric.txt
# Generated: 2025-09-24 14:16:17
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: KEM
# Court Name: Kirkland Court
# Total Lines Processed: 26
# KEM Lines Found: 0
# Valid KEM IDs: 0
# Failed KEM IDs: 0
# Success Rate: 0.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,kem_id_raw,kem_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
KEM,Kirkland Court,1,,,0,VALID,not_a_KEM_line,,NO PREFIX TEST - PURE NUMERIC DATA
KEM,Kirkland Court,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
KEM,Kirkland Court,3,,,0,VALID,not_a_KEM_line,,Testing default court assignment for data without prefixes
KEM,Kirkland Court,4,,,0,VALID,not_a_KEM_line,,===================================
KEM,Kirkland Court,6,,,0,VALID,not_a_KEM_line,,Equipment Registry - No Court Prefixes
KEM,Kirkland Court,7,,,0,VALID,not_a_KEM_line,,Should default to KEM court validation (9-13 digits)
KEM,Kirkland Court,9,,,0,VALID,not_a_KEM_line,,Equipment List:
KEM,Kirkland Court,10,,,0,VALID,not_a_KEM_line,,123456789	Equipment Alpha - Should be valid for default KEM
KEM,Kirkland Court,11,,,0,VALID,not_a_KEM_line,,1234567890123	Equipment Beta - Should be valid for default KEM
KEM,Kirkland Court,12,,,0,VALID,not_a_KEM_line,,12345678	Equipment Gamma - Should be invalid for default KEM (too short)
KEM,Kirkland Court,13,,,0,VALID,not_a_KEM_line,,12345678901234	Equipment Delta - Should be invalid for default KEM (too long)
KEM,Kirkland Court,15,,,0,VALID,not_a_KEM_line,,87654321	Equipment Echo - Should be invalid for default KEM (8 digits)
KEM,Kirkland Court,16,,,0,VALID,not_a_KEM_line,,987654321	Equipment Foxtrot - Should be valid for default KEM (9 digits)
KEM,Kirkland Court,17,,,0,VALID,not_a_KEM_line,,1111111111111	Equipment Golf - Should be valid for default KEM (13 digits)
KEM,Kirkland Court,18,,,0,VALID,not_a_KEM_line,,11111111111111	Equipment Hotel - Should be invalid for default KEM (14 digits)
KEM,Kirkland Court,20,,,0,VALID,not_a_KEM_line,,Additional Data Lines:
KEM,Kirkland Court,21,,,0,VALID,not_a_KEM_line,,This is a descriptive line without any court prefix.
KEM,Kirkland Court,22,,,0,VALID,not_a_KEM_line,,No validation should be attempted on this line.
KEM,Kirkland Court,24,,,0,VALID,not_a_KEM_line,,000000000	All zeros equipment - Should be valid for default KEM
KEM,Kirkland Court,25,,,0,VALID,not_a_KEM_line,,9999999999999	All nines equipment - Should be valid for default KEM
KEM,Kirkland Court,27,,,0,VALID,not_a_KEM_line,,===================================
KEM,Kirkland Court,28,,,0,VALID,not_a_KEM_line,,Expected Results (assuming KEM default):
KEM,Kirkland Court,29,,,0,VALID,not_a_KEM_line,,- Lines without prefixes should use default court rules
KEM,Kirkland Court,30,,,0,VALID,not_a_KEM_line,,- Valid for KEM (9-13 digits): 6 items
KEM,Kirkland Court,31,,,0,VALID,not_a_KEM_line,,- Invalid for KEM: 4 items
KEM,Kirkland Court,32,,,0,VALID,not_a_KEM_line,,- Non-data lines: ignored

# END OF REPORT
# Report Generated by Court Validator v2.0 for Kirkland Equipment Management
