# Court Validation Report
# Court: SEA - SEA
# Source File: SEA_invalid_only.txt
# Generated: 2025-09-24 14:24:17
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: SEA
# Court Name: SEA
# Total Lines Processed: 25
# SEA Lines Found: 0
# Valid SEA IDs: 0
# Failed SEA IDs: 0
# Success Rate: 0.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,sea_id_raw,sea_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
SEA,SEA,1,,,0,VALID,not_a_KEM_line,,SEA COURT - ALL INVALID TEST CASES
SEA,SEA,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
SEA,SEA,3,,,0,VALID,not_a_KEM_line,,===================================
SEA,SEA,5,,,0,VALID,not_a_KEM_line,,Testing invalid cases for SEA (must be 8-12 digits):
SEA,SEA,7,,,0,VALID,not_a_KEM_line,,Too Short (< 8 digits):
SEA,SEA,8,,,0,VALID,not_a_KEM_line,,SEA	1	Single Digit
SEA,SEA,9,,,0,VALID,not_a_KEM_line,,SEA	12	Two Digits
SEA,SEA,10,,,0,VALID,not_a_KEM_line,,SEA	1234567	Seven Digits
SEA,SEA,12,,,0,VALID,not_a_KEM_line,,Too Long (> 12 digits):
SEA,SEA,13,,,0,VALID,not_a_KEM_line,,SEA	1234567890123	Thirteen Digits
SEA,SEA,14,,,0,VALID,not_a_KEM_line,,SEA	12345678901234	Fourteen Digits
SEA,SEA,15,,,0,VALID,not_a_KEM_line,,SEA	123456789012345	Fifteen Digits
SEA,SEA,17,,,0,VALID,not_a_KEM_line,,No Valid Digits:
SEA,SEA,18,,,0,VALID,not_a_KEM_line,,SEA	SEATTLE	Pure Letters
SEA,SEA,19,,,0,VALID,not_a_KEM_line,,SEA	PORTSEATTLE	Port Name
SEA,SEA,20,,,0,VALID,not_a_KEM_line,,SEA	@#$%^&*	Special Characters
SEA,SEA,21,,,0,VALID,not_a_KEM_line,,SEA		Empty ID
SEA,SEA,22,,,0,VALID,not_a_KEM_line,,SEA	ΑΒΓΔΕΖΗΘ	Greek Letters
SEA,SEA,24,,,0,VALID,not_a_KEM_line,,Mixed Invalid:
SEA,SEA,25,,,0,VALID,not_a_KEM_line,,SEA	SEA123	Only 3 digits
SEA,SEA,26,,,0,VALID,not_a_KEM_line,,SEA	PORT456DOCK	Only 3 digits scattered
SEA,SEA,27,,,0,VALID,not_a_KEM_line,,SEA	Container#789	Only 3 digits with text
SEA,SEA,29,,,0,VALID,not_a_KEM_line,,===================================
SEA,SEA,30,,,0,VALID,not_a_KEM_line,,All 15 entries should FAIL validation
SEA,SEA,31,,,0,VALID,not_a_KEM_line,,Expected success rate: 0%

# END OF REPORT
# Report Generated by Court Validator v2.0 for SEA
