# Court Validation Report
# Court: SEA - SEA
# Source File: SEA_sample.txt
# Generated: 2025-09-24 14:13:54
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: SEA
# Court Name: SEA
# Total Lines Processed: 30
# SEA Lines Found: 0
# Valid SEA IDs: 0
# Failed SEA IDs: 0
# Success Rate: 0.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,sea_id_raw,sea_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
SEA,SEA,1,,,0,VALID,not_a_KEM_line,,SEA COURT VALIDATION TEST - MIXED CASES
SEA,SEA,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
SEA,SEA,3,,,0,VALID,not_a_KEM_line,,Seattle Court Equipment Registry
SEA,SEA,4,,,0,VALID,not_a_KEM_line,,===================================
SEA,SEA,6,,,0,VALID,not_a_KEM_line,,VALID SEA IDs (8-12 digits):
SEA,SEA,7,,,0,VALID,not_a_KEM_line,,SEA	12345678	Marine Equipment A - Valid (8 digits - minimum)
SEA,SEA,8,,,0,VALID,not_a_KEM_line,,SEA	123456789	Harbor Tool B - Valid (9 digits)
SEA,SEA,9,,,0,VALID,not_a_KEM_line,,SEA	1234567890	Port Device C - Valid (10 digits)
SEA,SEA,10,,,0,VALID,not_a_KEM_line,,SEA	12345678901	Ferry Part D - Valid (11 digits)
SEA,SEA,11,,,0,VALID,not_a_KEM_line,,SEA	123456789012	Ship Component E - Valid (12 digits - maximum)
SEA,SEA,12,,,0,VALID,not_a_KEM_line,,SEA	87654321	Standard Item F - Valid (8 digits)
SEA,SEA,13,,,0,VALID,not_a_KEM_line,,SEA	555666777	Regular Equipment G - Valid (9 digits)
SEA,SEA,15,,,0,VALID,not_a_KEM_line,,INVALID SEA IDs (outside 8-12 range):
SEA,SEA,16,,,0,VALID,not_a_KEM_line,,SEA	1234567	Too Short Item H - Invalid (7 digits - below minimum)
SEA,SEA,17,,,0,VALID,not_a_KEM_line,,SEA	123456	Very Short Item I - Invalid (6 digits)
SEA,SEA,18,,,0,VALID,not_a_KEM_line,,SEA	1234567890123	Too Long Item J - Invalid (13 digits - above maximum)
SEA,SEA,19,,,0,VALID,not_a_KEM_line,,SEA	12345678901234	Extra Long Item K - Invalid (14 digits)
SEA,SEA,20,,,0,VALID,not_a_KEM_line,,SEA	SEATTLEPORT	No Digits Item L - Invalid (no numeric digits)
SEA,SEA,21,,,0,VALID,not_a_KEM_line,,SEA	SEA123DOCK	Mixed Alpha Item M - Invalid (only 3 digits)
SEA,SEA,22,,,0,VALID,not_a_KEM_line,,SEA		Empty ID Item N - Invalid (empty ID)
SEA,SEA,24,,,0,VALID,not_a_KEM_line,,EDGE CASES:
SEA,SEA,25,,,0,VALID,not_a_KEM_line,,SEA	00000000	All Zeros - Valid (8 digits)
SEA,SEA,26,,,0,VALID,not_a_KEM_line,,SEA	999999999999	All Nines - Valid (12 digits)
SEA,SEA,27,,,0,VALID,not_a_KEM_line,,SEA	123-456-78	With Dashes - Valid (8 digits extracted)
SEA,SEA,28,,,0,VALID,not_a_KEM_line,,SEA	(206)555-1234	Phone Format - Valid (10 digits extracted)
SEA,SEA,30,,,0,VALID,not_a_KEM_line,,===================================
SEA,SEA,31,,,0,VALID,not_a_KEM_line,,Expected Results:
SEA,SEA,32,,,0,VALID,not_a_KEM_line,,- Valid entries: 11
SEA,SEA,33,,,0,VALID,not_a_KEM_line,,- Invalid entries: 7
SEA,SEA,34,,,0,VALID,not_a_KEM_line,,- Total SEA lines: 18

# END OF REPORT
# Report Generated by Court Validator v2.0 for SEA
