# Court Validation Report
# Court: TAC - TAC
# Source File: TAC_invalid_only.txt
# Generated: 2025-09-24 14:16:18
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: TAC
# Court Name: TAC
# Total Lines Processed: 24
# TAC Lines Found: 0
# Valid TAC IDs: 0
# Failed TAC IDs: 0
# Success Rate: 0.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,tac_id_raw,tac_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
TAC,TAC,1,,,0,VALID,not_a_KEM_line,,TAC COURT - ALL INVALID TEST CASES
TAC,TAC,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
TAC,TAC,3,,,0,VALID,not_a_KEM_line,,===================================
TAC,TAC,5,,,0,VALID,not_a_KEM_line,,Testing invalid cases for TAC (must be 10-14 digits):
TAC,TAC,7,,,0,VALID,not_a_KEM_line,,Too Short (< 10 digits):
TAC,TAC,8,,,0,VALID,not_a_KEM_line,,TAC	1	Single Digit
TAC,TAC,9,,,0,VALID,not_a_KEM_line,,TAC	123456789	Nine Digits
TAC,TAC,11,,,0,VALID,not_a_KEM_line,,Too Long (> 14 digits):
TAC,TAC,12,,,0,VALID,not_a_KEM_line,,TAC	123456789012345	Fifteen Digits
TAC,TAC,13,,,0,VALID,not_a_KEM_line,,TAC	1234567890123456	Sixteen Digits
TAC,TAC,14,,,0,VALID,not_a_KEM_line,,TAC	12345678901234567890	Twenty Digits
TAC,TAC,16,,,0,VALID,not_a_KEM_line,,No Valid Digits:
TAC,TAC,17,,,0,VALID,not_a_KEM_line,,TAC	TACOMA	Pure Letters
TAC,TAC,18,,,0,VALID,not_a_KEM_line,,TAC	INDUSTRIAL	Industry Name
TAC,TAC,19,,,0,VALID,not_a_KEM_line,,TAC	@#$%^&*()	Special Characters
TAC,TAC,20,,,0,VALID,not_a_KEM_line,,TAC		Empty ID
TAC,TAC,21,,,0,VALID,not_a_KEM_line,,TAC	ΩΦΨΧΥΤΣΡ	Greek Letters
TAC,TAC,23,,,0,VALID,not_a_KEM_line,,Mixed Invalid:
TAC,TAC,24,,,0,VALID,not_a_KEM_line,,TAC	TAC123	Only 3 digits
TAC,TAC,25,,,0,VALID,not_a_KEM_line,,TAC	PLANT456MILL	Only 3 digits scattered
TAC,TAC,26,,,0,VALID,not_a_KEM_line,,TAC	Factory#789ABC	Only 3 digits with text
TAC,TAC,28,,,0,VALID,not_a_KEM_line,,===================================
TAC,TAC,29,,,0,VALID,not_a_KEM_line,,All 15 entries should FAIL validation
TAC,TAC,30,,,0,VALID,not_a_KEM_line,,Expected success rate: 0%

# END OF REPORT
# Report Generated by Court Validator v2.0 for TAC
