# Court Validation Report
# Court: TAC - TAC
# Source File: TAC_sample.txt
# Generated: 2025-09-24 14:24:17
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: TAC
# Court Name: TAC
# Total Lines Processed: 30
# TAC Lines Found: 0
# Valid TAC IDs: 0
# Failed TAC IDs: 0
# Success Rate: 0.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,tac_id_raw,tac_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
TAC,TAC,1,,,0,VALID,not_a_KEM_line,,TAC COURT VALIDATION TEST - MIXED CASES
TAC,TAC,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
TAC,TAC,3,,,0,VALID,not_a_KEM_line,,Tacoma Court Industrial Registry
TAC,TAC,4,,,0,VALID,not_a_KEM_line,,===================================
TAC,TAC,6,,,0,VALID,not_a_KEM_line,,VALID TAC IDs (10-14 digits):
TAC,TAC,7,,,0,VALID,not_a_KEM_line,,TAC	1234567890	Industrial Unit A - Valid (10 digits - minimum)
TAC,TAC,8,,,0,VALID,not_a_KEM_line,,TAC	12345678901	Factory Tool B - Valid (11 digits)
TAC,TAC,9,,,0,VALID,not_a_KEM_line,,TAC	123456789012	Plant Device C - Valid (12 digits)
TAC,TAC,10,,,0,VALID,not_a_KEM_line,,TAC	1234567890123	Facility Part D - Valid (13 digits)
TAC,TAC,11,,,0,VALID,not_a_KEM_line,,TAC	12345678901234	Complex Component E - Valid (14 digits - maximum)
TAC,TAC,12,,,0,VALID,not_a_KEM_line,,TAC	9876543210	Standard Item F - Valid (10 digits)
TAC,TAC,13,,,0,VALID,not_a_KEM_line,,TAC	5554443332221	Regular Equipment G - Valid (13 digits)
TAC,TAC,15,,,0,VALID,not_a_KEM_line,,INVALID TAC IDs (outside 10-14 range):
TAC,TAC,16,,,0,VALID,not_a_KEM_line,,TAC	123456789	Too Short Item H - Invalid (9 digits - below minimum)
TAC,TAC,17,,,0,VALID,not_a_KEM_line,,TAC	12345678	Very Short Item I - Invalid (8 digits)
TAC,TAC,18,,,0,VALID,not_a_KEM_line,,TAC	123456789012345	Too Long Item J - Invalid (15 digits - above maximum)
TAC,TAC,19,,,0,VALID,not_a_KEM_line,,TAC	1234567890123456	Extra Long Item K - Invalid (16 digits)
TAC,TAC,20,,,0,VALID,not_a_KEM_line,,TAC	TACOMAPLANT	No Digits Item L - Invalid (no numeric digits)
TAC,TAC,21,,,0,VALID,not_a_KEM_line,,TAC	TAC123MILL	Mixed Alpha Item M - Invalid (only 3 digits)
TAC,TAC,22,,,0,VALID,not_a_KEM_line,,TAC		Empty ID Item N - Invalid (empty ID)
TAC,TAC,24,,,0,VALID,not_a_KEM_line,,EDGE CASES:
TAC,TAC,25,,,0,VALID,not_a_KEM_line,,TAC	0000000000	All Zeros - Valid (10 digits)
TAC,TAC,26,,,0,VALID,not_a_KEM_line,,TAC	99999999999999	All Nines - Valid (14 digits)
TAC,TAC,27,,,0,VALID,not_a_KEM_line,,TAC	253-555-1234	With Dashes - Valid (10 digits extracted)
TAC,TAC,28,,,0,VALID,not_a_KEM_line,,TAC	(253)555-12345	Phone Plus - Valid (11 digits extracted)
TAC,TAC,30,,,0,VALID,not_a_KEM_line,,===================================
TAC,TAC,31,,,0,VALID,not_a_KEM_line,,Expected Results:
TAC,TAC,32,,,0,VALID,not_a_KEM_line,,- Valid entries: 11
TAC,TAC,33,,,0,VALID,not_a_KEM_line,,- Invalid entries: 7
TAC,TAC,34,,,0,VALID,not_a_KEM_line,,- Total TAC lines: 18

# END OF REPORT
# Report Generated by Court Validator v2.0 for TAC
