# Court Validation Report
# Court: TAC - TAC
# Source File: no_prefix_edge_cases.txt
# Generated: 2025-09-24 14:16:17
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: TAC
# Court Name: TAC
# Total Lines Processed: 37
# TAC Lines Found: 0
# Valid TAC IDs: 0
# Failed TAC IDs: 0
# Success Rate: 0.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,tac_id_raw,tac_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
TAC,TAC,1,,,0,VALID,not_a_KEM_line,,NO PREFIX TEST - EDGE CASES
TAC,TAC,2,,,0,VALID,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
TAC,TAC,3,,,0,VALID,not_a_KEM_line,,Testing edge cases without court prefixes
TAC,TAC,4,,,0,VALID,not_a_KEM_line,,===================================
TAC,TAC,6,,,0,VALID,not_a_KEM_line,,Boundary length testing (no court specified):
TAC,TAC,7,,,0,VALID,not_a_KEM_line,,1	Single digit
TAC,TAC,8,,,0,VALID,not_a_KEM_line,,12	Two digits
TAC,TAC,9,,,0,VALID,not_a_KEM_line,,123	Three digits
TAC,TAC,10,,,0,VALID,not_a_KEM_line,,1234	Four digits
TAC,TAC,11,,,0,VALID,not_a_KEM_line,,12345	Five digits
TAC,TAC,12,,,0,VALID,not_a_KEM_line,,123456	Six digits
TAC,TAC,13,,,0,VALID,not_a_KEM_line,,1234567	Seven digits
TAC,TAC,14,,,0,VALID,not_a_KEM_line,,"12345678	Eight digits - SEA valid, KEM/TAC invalid"
TAC,TAC,15,,,0,VALID,not_a_KEM_line,,"123456789	Nine digits - KEM valid, SEA/TAC varies"
TAC,TAC,16,,,0,VALID,not_a_KEM_line,,1234567890	Ten digits - All courts potentially valid
TAC,TAC,17,,,0,VALID,not_a_KEM_line,,"12345678901	Eleven digits - KEM/SEA valid, TAC valid"
TAC,TAC,18,,,0,VALID,not_a_KEM_line,,"123456789012	Twelve digits - KEM/SEA valid, TAC valid"
TAC,TAC,19,,,0,VALID,not_a_KEM_line,,"1234567890123	Thirteen digits - KEM valid, SEA invalid, TAC valid"
TAC,TAC,20,,,0,VALID,not_a_KEM_line,,"12345678901234	Fourteen digits - TAC valid, KEM/SEA invalid"
TAC,TAC,21,,,0,VALID,not_a_KEM_line,,123456789012345	Fifteen digits - All courts invalid
TAC,TAC,23,,,0,VALID,not_a_KEM_line,,Special formatting (no prefixes):
TAC,TAC,24,,,0,VALID,not_a_KEM_line,,123-456-789	Dashed format
TAC,TAC,25,,,0,VALID,not_a_KEM_line,,(123)456-7890	Phone format
TAC,TAC,26,,,0,VALID,not_a_KEM_line,,123.456.7890	Dotted format
TAC,TAC,27,,,0,VALID,not_a_KEM_line,,123 456 7890	Spaced format
TAC,TAC,29,,,0,VALID,not_a_KEM_line,,All same digits (no prefixes):
TAC,TAC,30,,,0,VALID,not_a_KEM_line,,000000000	All zeros (9 digits)
TAC,TAC,31,,,0,VALID,not_a_KEM_line,,111111111	All ones (9 digits)
TAC,TAC,32,,,0,VALID,not_a_KEM_line,,999999999	All nines (9 digits)
TAC,TAC,33,,,0,VALID,not_a_KEM_line,,0000000000000	All zeros (13 digits)
TAC,TAC,34,,,0,VALID,not_a_KEM_line,,9999999999999	All nines (13 digits)
TAC,TAC,36,,,0,VALID,not_a_KEM_line,,===================================
TAC,TAC,37,,,0,VALID,not_a_KEM_line,,Expected Results:
TAC,TAC,38,,,0,VALID,not_a_KEM_line,,- Should demonstrate default court assignment behavior
TAC,TAC,39,,,0,VALID,not_a_KEM_line,,- Various lengths test different court compatibility
TAC,TAC,40,,,0,VALID,not_a_KEM_line,,- Formatting should not affect digit extraction
TAC,TAC,41,,,0,VALID,not_a_KEM_line,,- System should handle edge cases gracefully

# END OF REPORT
# Report Generated by Court Validator v2.0 for TAC
