# File Validation Report
# Court: KEM - Kirkland Equipment Management
# Source File: KEM_mixed_court_realistic.txt
# Generated: 2025-09-29 14:51:46
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: KEM
# Court Name: Kirkland Court
# Total Lines Processed: 35
# KEM Lines Found: 5
# Valid KEM IDs: 4
# Failed KEM IDs: 1
# Success Rate: 80.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,kem_id_raw,kem_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
KEM,Kirkland Court,1,,,0,True,not_a_KEM_line,,MULTI-COURT REALISTIC DATA MIX
KEM,Kirkland Court,2,,,0,True,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
KEM,Kirkland Court,3,,,0,True,not_a_KEM_line,,Simulating real-world multi-court processing
KEM,Kirkland Court,4,,,0,True,not_a_KEM_line,,===================================
KEM,Kirkland Court,6,,,0,True,not_a_KEM_line,,Daily Equipment Log - Multiple Jurisdictions
KEM,Kirkland Court,7,,,0,True,not_a_KEM_line,,Date: 2025-09-18
KEM,Kirkland Court,9,,,0,True,not_a_KEM_line,,Morning Shift - Kirkland Operations:
KEM,Kirkland Court,10,4152500182618,4152500182618,13,True,,,KEM	4152500182618	Hydraulic System Primary
KEM,Kirkland Court,11,987654321,987654321,9,True,,,KEM	987654321	Control Panel Alpha
KEM,Kirkland Court,12,,,0,True,not_a_KEM_line,,Equipment maintenance scheduled for next week.
KEM,Kirkland Court,13,1234567890123,1234567890123,13,True,,,KEM	1234567890123	Backup Generator Unit
KEM,Kirkland Court,15,,,0,True,not_a_KEM_line,,Afternoon Shift - Seattle Harbor:
KEM,Kirkland Court,16,,,0,True,not_a_KEM_line,,SEA	206555123	Marine Pump Station
KEM,Kirkland Court,17,,,0,True,not_a_KEM_line,,SEA	87654321	Harbor Light Controller
KEM,Kirkland Court,18,,,0,True,not_a_KEM_line,,Port operations running smoothly today.
KEM,Kirkland Court,19,,,0,True,not_a_KEM_line,,SEA	555666777888	Navigation Equipment
KEM,Kirkland Court,21,,,0,True,not_a_KEM_line,,Evening Shift - Tacoma Industrial:
KEM,Kirkland Court,22,,,0,True,not_a_KEM_line,,TAC	2535551234567	Factory Conveyor System
KEM,Kirkland Court,23,,,0,True,not_a_KEM_line,,TAC	1122334455	Industrial Press Unit
KEM,Kirkland Court,24,,,0,True,not_a_KEM_line,,Manufacturing targets met for today.
KEM,Kirkland Court,25,,,0,True,not_a_KEM_line,,TAC	9876543210123	Quality Control Station
KEM,Kirkland Court,27,,,0,True,not_a_KEM_line,,Cross-Reference Items:
KEM,Kirkland Court,28,REFERENCE: SEA-87654321,87654321,8,False,digit_count_out_of_range,Expected 9-13 digits,KEM	REFERENCE: SEA-87654321	Cross-reference note
KEM,Kirkland Court,29,,,0,True,not_a_KEM_line,,SEA	REFERENCE: TAC-1122334455	Cross-reference note
KEM,Kirkland Court,30,,,0,True,not_a_KEM_line,,TAC	REFERENCE: KEM-987654321	Cross-reference note
KEM,Kirkland Court,32,,,0,True,not_a_KEM_line,,Mixed Format Lines:
KEM,Kirkland Court,33,123456789,123456789,9,True,,,KEM 123456789 Space-separated KEM item
KEM,Kirkland Court,34,,,0,True,not_a_KEM_line,,SEA	12345678	Tab-separated SEA item
KEM,Kirkland Court,35,,,0,True,not_a_KEM_line,,TAC   1234567890   Multiple-space TAC item
KEM,Kirkland Court,37,,,0,True,not_a_KEM_line,,===================================
KEM,Kirkland Court,38,,,0,True,not_a_KEM_line,,Expected Processing Results:
KEM,Kirkland Court,39,,,0,True,not_a_KEM_line,,- Multiple courts in single file
KEM,Kirkland Court,40,,,0,True,not_a_KEM_line,,- Various formatting styles
KEM,Kirkland Court,41,,,0,True,not_a_KEM_line,,- Cross-references and notes
KEM,Kirkland Court,42,,,0,True,not_a_KEM_line,,- Realistic data patterns
