# File Validation Report
# Court: KEM - Kirkland Equipment Management
# Source File: KEM_mixed_court_batch1.txt
# Generated: 2025-09-29 14:51:45
# Status: FAILED

# COURT SUMMARY STATISTICS
# Court Code: KEM
# Court Name: Kirkland Court
# Total Lines Processed: 29
# KEM Lines Found: 5
# Valid KEM IDs: 2
# Failed KEM IDs: 3
# Success Rate: 40.0%

# DETAILED VALIDATION RESULTS
court_code,court_name,line_number,kem_id_raw,kem_digits,digits_count,is_valid,fail_reason,validation_details,raw_line
KEM,Kirkland Court,1,,,0,True,not_a_KEM_line,,MULTI-COURT BATCH TEST - ALL COURTS
KEM,Kirkland Court,2,,,0,True,not_a_KEM_line,,Generated: 2025-09-18 14:41:07
KEM,Kirkland Court,3,,,0,True,not_a_KEM_line,,Testing multiple courts in single file
KEM,Kirkland Court,4,,,0,True,not_a_KEM_line,,===================================
KEM,Kirkland Court,6,,,0,True,not_a_KEM_line,,KEM COURT ENTRIES (9-13 digits):
KEM,Kirkland Court,7,123456789,123456789,9,True,,,KEM	123456789	KEM Equipment 1 - Valid
KEM,Kirkland Court,8,1234567890123,1234567890123,13,True,,,KEM	1234567890123	KEM Equipment 2 - Valid
KEM,Kirkland Court,9,12345678,12345678,8,False,digit_count_out_of_range,Expected 9-13 digits,KEM	12345678	KEM Equipment 3 - Invalid (too short)
KEM,Kirkland Court,10,12345678901234,12345678901234,14,False,digit_count_out_of_range,Expected 9-13 digits,KEM	12345678901234	KEM Equipment 4 - Invalid (too long)
KEM,Kirkland Court,12,,,0,True,not_a_KEM_line,,SEA COURT ENTRIES (8-12 digits):
KEM,Kirkland Court,13,,,0,True,not_a_KEM_line,,SEA	12345678	SEA Equipment 1 - Valid
KEM,Kirkland Court,14,,,0,True,not_a_KEM_line,,SEA	123456789012	SEA Equipment 2 - Valid
KEM,Kirkland Court,15,,,0,True,not_a_KEM_line,,SEA	1234567	SEA Equipment 3 - Invalid (too short)
KEM,Kirkland Court,16,,,0,True,not_a_KEM_line,,SEA	1234567890123	SEA Equipment 4 - Invalid (too long)
KEM,Kirkland Court,18,,,0,True,not_a_KEM_line,,TAC COURT ENTRIES (10-14 digits):
KEM,Kirkland Court,19,,,0,True,not_a_KEM_line,,TAC	1234567890	TAC Equipment 1 - Valid
KEM,Kirkland Court,20,,,0,True,not_a_KEM_line,,TAC	12345678901234	TAC Equipment 2 - Valid
KEM,Kirkland Court,21,,,0,True,not_a_KEM_line,,TAC	123456789	TAC Equipment 3 - Invalid (too short)
KEM,Kirkland Court,22,,,0,True,not_a_KEM_line,,TAC	123456789012345	TAC Equipment 4 - Invalid (too long)
KEM,Kirkland Court,24,,,0,True,not_a_KEM_line,,CROSS-COURT CONFUSION TESTS:
KEM,Kirkland Court,25,12345678,12345678,8,False,digit_count_out_of_range,Expected 9-13 digits,KEM	12345678	KEM with SEA-valid length - Invalid for KEM
KEM,Kirkland Court,26,,,0,True,not_a_KEM_line,,SEA	123456789012345	SEA with TAC-invalid length - Invalid for SEA
KEM,Kirkland Court,27,,,0,True,not_a_KEM_line,,TAC	12345678	TAC with SEA-valid length - Invalid for TAC
KEM,Kirkland Court,29,,,0,True,not_a_KEM_line,,===================================
KEM,Kirkland Court,30,,,0,True,not_a_KEM_line,,Expected Results by Court:
KEM,Kirkland Court,31,,,0,True,not_a_KEM_line,,"- KEM: 2 valid, 3 invalid"
KEM,Kirkland Court,32,,,0,True,not_a_KEM_line,,"- SEA: 2 valid, 3 invalid"
KEM,Kirkland Court,33,,,0,True,not_a_KEM_line,,"- TAC: 2 valid, 3 invalid"
KEM,Kirkland Court,34,,,0,True,not_a_KEM_line,,"Total: 6 valid, 9 invalid"
